Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_Login,Chrome 121.0.0.0,,,07-02-2024 22:44:23,07-02-2024 22:46:05,1m - 41.506s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login,Chrome 121.0.0.0,,,07-02-2024 22:44:23,07-02-2024 22:46:05,1m - 41.306s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 22:44:24,07-02-2024 22:44:26,1.925s,PASSED
"navigateToUrl(""https://www.amazon.in/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.in%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0"")",Chrome 121.0.0.0,,,07-02-2024 22:44:26,07-02-2024 22:44:37,10.918s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_Email or mobile phone number_email""), ""9025922351"")",Chrome 121.0.0.0,,,07-02-2024 22:44:37,07-02-2024 22:45:34,57.464s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,07-02-2024 22:45:34,07-02-2024 22:46:02,27.650s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_Forgot Password_password""), ""S2G0OOYZRIveMPyfCU1myw=="")",Chrome 121.0.0.0,,,07-02-2024 22:46:02,07-02-2024 22:46:04,2.366s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,07-02-2024 22:46:04,07-02-2024 22:46:04,0.473s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,07-02-2024 22:46:04,07-02-2024 22:46:05,0.274s,PASSED
